1 1 1:-0.13922152088754197 2:-0.135260611001453 4:-0.22788667225621362 5:-0.15928594829504655 7:-0.2621870342367972 8:-0.2621870342367972 10:-0.2621870342367972 11:-0.2621870342367972 13:-0.18254406008927387 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
154 2 96:-0.6041729327798189 122:-0.9093809543399517 252:-1.141874123975376 302:-0.9102932322837606 394:-1.036348062551472 404:-1.141874123975376 416:-1.023523552406597 872:-0.35112843096762075 873:-0.4735940011220733 874:-0.4058462695141 875:-0.4735940011220733 876:-0.6414203897462586 877:-0.6414203897462586 878:-0.6414203897462586 879:-0.5575071954341659 		sinh_viên hết được miễn giảm vé tàu_hỏa nghe mà nghẹn lòng xin_lỗi bố_mẹ đợt lễ này con không về 
155 2 21:-0.32251110405595795 43:0.07330625011468372 112:-0.9093809543399517 122:-0.9093809543399517 128:-0.6841593264798133 131:-1.0176527765915522 136:-0.748304062738001 142:-0.7549209935263947 168:-0.6020599783849785 278:-0.24940374219819422 281:-0.22390125283031473 302:-0.9102932322837606 306:-0.9653576677351706 423:-1.023523552406597 441:-0.6760881547513137 447:-0.29718480469001346 514:-0.7328740907661605 590:-0.6617597897571995 678:-1.464787513174445 681:-1.2443150238046665 720:-0.6444385732891087 848:-1.0411014191953492 872:-0.35112843096762075 874:-0.4058462695141 875:-0.4735940011220733 880:-1.3059247156303007 881:-0.705027243314136 882:-1.6475451334716353 883:-0.7568734802395048 884:-0.9548660838542162 885:-1.6475451334716353 886:-1.4320066549121386 887:-1.0424521218293146 888:-1.6475451334716353 889:-0.9548660838542162 890:-1.4320066549121386 		tại_sao sinh_viên không được miễn_giảm mua vé tàu_hỏa chứ mỗi khi về quê là mình thường đi tàu nhà không có điều_kiện nên vẫn mua vé tàu cho tiết_kiệm mà cũng đâu phải ít sinh_viên đâu bạn_bè mình quê xa khi được về nhà ai cũng mua nếu không_thể giảm nhiều xin hãy giảm ít giờ học_phí tăng cao kinh_khủng tiết_kiệm khoản này khoản kia để còn đóng học chứ ?
156 2 21:-0.32251110405595795 97:-0.5801078230440959 136:-0.748304062738001 337:0.694329106565521 438:-0.5012600928457122 514:-0.7328740907661605 706:-0.7407893350959982 872:-0.35112843096762075 891:-0.5873896838654455 892:-0.5873896838654455 893:-0.5105450037351202 894:-0.5873896838654455 895:-0.5873896838654455 896:-0.5873896838654455 		thiết_nghĩ đời_sống sinh_viên của con_em nhà_nông còn vất_vả lắm sao lại không tạo điều_kiện cho các em ấy 
157 2 67:0.14109438435948235 594:-1.2027087143097317 711:-0.7407893350959982 872:-0.35112843096762075 897:1.4891097229274108E-8 898:1.0367718431723768E-8 		buồn vg là sinh_viên nghèo lại càng khổ hơn rồi 
158 2 49:-0.04051559033293016 76:0.059531871955552436 91:-0.4926092943636468 119:-1.1875290877898197 136:-0.748304062738001 211:-0.31480436109427484 284:0.355415026621936 551:-0.19358631027563006 745:-0.9029667352430651 872:-0.35112843096762075 880:-1.3059247156303007 900:-0.9548660838542162 901:0.1430042025605183 902:-0.9548660838542162 903:-0.9548660838542162 		tôi thấy vô_lý khi còn phân_loại khuyết_tật là khuyết_tật nặng mới được sinh_viên và người khuyết_tật là những đối_tượng hợp_lý để được miễn_giảm không nên sữa đổi điều này không hay 
159 2 312:0.40463189352428874 590:-0.6617597897571995 872:-0.35112843096762075 898:1.0367718431723768E-8 		sinh_viên đã nghèo rồi mà giờ không được hỗ_trợ nữa 
160 2 122:-0.9093809543399517 310:0.9093809417105434 874:-0.4058462695141 875:-0.4735940011220733 		chuyện về vé tàu_hỏa là không đồng_ý
161 2 21:-0.32251110405595795 76:0.059531871955552436 152:-1.037027853869807 337:0.694329106565521 514:-0.7328740907661605 638:-1.3255156471844183 848:-1.0411014191953492 872:-0.35112843096762075 881:-0.705027243314136 893:-0.5105450037351202 905:-0.74143624375057 906:-0.6444385732891087 907:-0.74143624375057 908:-0.5474409028276473 909:-0.74143624375057 910:-0.048757194133150945 		sinh_viên phần_lớn xa quê và là con_em nông_dân công_nhân không có điều_kiện thế_mà không giảm_giá cho các em í @ @ thấy tội cho các em
162 2 66:0.0990688183079093 101:-0.9093809543399517 136:-0.748304062738001 147:-0.9457220750477037 548:-0.6444385732891087 681:-1.2443150238046665 898:1.0367718431723768E-8 911:-0.6926790347263219 912:-0.6926790347263219 913:-0.6926790347263219 914:1.4891097229274108E-8 915:1.4891097229274108E-8 916:-0.6926790347263219 917:-0.6926790347263219 918:-0.6926790347263219 		những mặt_hàng nông_nghiệp như phân thuốc_trừ_sâu bình ỗn được chứ dân đang nghèo mùa_màng thất_bát tại_sao còn đưa gạo làm bình ỗn
163 2 21:-0.32251110405595795 38:0.06396623127457968 360:-0.5575071954341659 401:-1.1364034271016408 438:-0.5012600928457122 874:-0.4058462695141 908:-0.5474409028276473 919:-0.46968620280569456 920:-0.46968620280569456 921:-0.46968620280569456 922:-0.4082399653118496 923:-0.46968620280569456 		những cái tốt sao hok duy_trì mà_lại hủy_bỏ là sao giảm_giá vé cho sv là việc_làm thiết_thực mà 
164 2 21:-0.32251110405595795 122:-0.9093809543399517 155:-0.9457220750477037 228:-0.0754964559786681 254:-1.07674111048744 302:-0.9102932322837606 349:0.24816226377459902 359:-0.08278534443048224 366:-0.4465799863412682 394:-1.036348062551472 438:-0.5012600928457122 464:1.180341073484634E-8 740:1.099487080649182E-8 771:-0.2922560325275243 872:-0.35112843096762075 873:-0.4735940011220733 874:-0.4058462695141 879:-0.5575071954341659 881:-0.705027243314136 883:-0.7568734802395048 886:-1.4320066549121386 887:-1.0424521218293146 898:1.0367718431723768E-8 908:-0.5474409028276473 922:-0.4082399653118496 924:-1.410034072398515 925:-1.410034072398515 926:-1.410034072398515 927:-1.225567745796932 928:-1.410034072398515 929:-1.410034072398515 930:-0.3121637537197369 		sinh_viên không được miễn giá vé tàu ntn là không thỏa_đáng đa_số sv đều ở quê ra tp học_tập đa_phần sv là gđ nông nghèo không giảm_giá tàu_xe cho sv về quê các đợt lễ tết và không được học_phí thì tăng vé tàu_xe không giảm thế sv chúng_tôi sao mà đủ tiền tàu_xe 
165 2 132:-0.7667072071964306 252:-1.141874123975376 310:0.9093809417105434 625:-0.61456472938368 872:-0.35112843096762075 874:-0.4058462695141 880:-1.3059247156303007 883:-0.7568734802395048 931:-0.5302698768370445 932:-0.5302698768370445 		đồng_ý hết nhưng sinh_viên không được miễn_giảm vé tàu là một vấn_đề cần phải xem_xét lại vì_sao 
166 2 15:-0.7163739607111894 21:-0.32251110405595795 78:0.04213435766353873 128:-0.6841593264798133 136:-0.748304062738001 277:-0.27490623494773353 281:-0.22390125283031473 441:-0.6760881547513137 447:-0.29718480469001346 681:-1.2443150238046665 795:-1.8889653184143693 873:-0.4735940011220733 927:-1.225567745796932 933:-1.0978702665599385 935:-1.0978702665599385 936:-1.0978702665599385 937:-1.0978702665599385 938:-1.0978702665599385 939:-1.0978702665599385 940:-1.0978702665599385 941:-1.0978702665599385 942:-1.0978702665599385 		ơ trước năm 45 là chống pháp đa_phần tuổi đã cao sức đã yếu còn đi đâu nữa mà miễn với không miễn ? tại_sao không miễn giãm cho tất_cả các thời_kỳ ? buồn_cười quá 
167 2 21:-0.32251110405595795 38:0.06396623127457968 96:-0.6041729327798189 281:-0.22390125283031473 328:0.19512031208214384 342:-0.5266511024302838 438:-0.5012600928457122 501:-0.2922560325275243 581:-1.1821292027278871 594:-1.2027087143097317 706:-0.7407893350959982 791:-1.2869053270864068 848:-1.0411014191953492 872:-0.35112843096762075 881:-0.705027243314136 898:1.0367718431723768E-8 943:-0.9925809529268045 944:-0.9925809529268045 945:-0.9925809529268045 946:-0.9925809529268045 947:-0.9925809529268045 		buồn thiết chứ không đội mũ_bảo_hiểm cho những bạn trẻ là tốt nên bắt_buộc sinh_viên xa quê nghèo lắm các bác ạ sao các bác nỡ lòng nào ? 
168 2 5:-0.15928594829504655 39:0.059531871955552436 49:-0.04051559033293016 68:0.7309531358051344 113:-1.2748575066916197 127:-1.0176527765915522 184:-0.8765583686769393 251:-1.344195743375277 298:-1.1364034271016408 302:-0.9102932322837606 312:0.40463189352428874 455:-0.1735218828681255 505:-0.7867681269281029 558:-0.8702255777570986 693:0.6020600042709465 721:-0.04237858196114619 726:0.309803958800438 727:0.309803958800438 740:1.099487080649182E-8 872:-0.35112843096762075 873:-0.4735940011220733 874:-0.4058462695141 875:-0.4735940011220733 908:-0.5474409028276473 948:-1.6852600025442235 949:-1.6852600025442235 950:-1.6852600025442235 951:-1.6852600025442235 952:-1.6852600025442235 953:-1.6852600025442235 954:-1.6852600025442235 956:-0.9925809529268045 957:-1.6852600025442235 958:-1.6852600025442235 959:-1.6852600025442235 960:-1.6852600025442235 961:-1.6852600025442235 962:-1.6852600025442235 963:-1.6852600025442235 964:-1.6852600025442235 965:-1.6852600025442235 966:-1.6852600025442235 		sinh_viên không được miễn giảm vé tàu_hỏa là chính_sách chưa phù_hợp để phát_triển đất_nước sinh_viên là những người cần được ưu_tiên hỗ_trợ phát_triển nước gần chúng_ta nhất trung quốc sinh_viên được miễn giảm_giá vé tầu vào hai lần là đi_về nghỉ_hè và nghỉ tết đề_nghị tăng_cường an_ninh tại các khu_vực bến_xe bến_tàu phòng_chống trộm_cắp cướp_giật lắp thiết_bị ghi_hình ghi tiếng và báo_động nhanh tại các khu_vực này 
169 2 249:-1.225845171806498 262:8.419605220332626E-9 342:-0.5266511024302838 967:1.2942984017882964E-8 968:1.2942984017882964E-8 969:1.2942984017882964E-8 970:1.180341073484634E-8 971:1.4891097229274108E-8 972:1.4891097229274108E-8 		  thay_đổi mã vùng điện_thoại cố_định không khoa_học tí nào
170 2 21:-0.32251110405595795 253:-1.07674111048744 277:-0.27490623494773353 552:-0.19358631027563006 745:-0.9029667352430651 970:1.180341073484634E-8 973:-0.4051912169425199 974:-0.4051912169425199 975:-0.4051912169425199 976:-0.4051912169425199 977:-0.4051912169425199 		mệt nhất_là chuyện đổi số điện_thoại mới_đầu năm đã hao_tài_tốn_của cho việc in_ấn giấy_tờ rồi 
171 2 21:-0.32251110405595795 76:0.059531871955552436 211:-0.31480436109427484 253:-1.07674111048744 269:-0.06631354409019037 275:0.6020600042709465 276:0.5490512471942065 342:-0.5266511024302838 635:-1.3255156471844183 745:-0.9029667352430651 978:-0.4051912169425199 		tôi thấy đổi số đt và cho mang thai hộ là không hay chút nào 
172 2 42:0.06396623127457968 76:0.059531871955552436 249:-1.225845171806498 328:0.19512031208214384 342:-0.5266511024302838 967:1.2942984017882964E-8 968:1.2942984017882964E-8 969:1.2942984017882964E-8 970:1.180341073484634E-8 979:-0.6926790347263219 980:-0.6926790347263219 981:-0.6926790347263219 982:-0.6926790347263219 983:-0.6926790347263219 		mã vùng điện_thoại thay_đổi kiểu gì mà đọc vào chả thấy khoa_học không biết_mấy bác phân_chia mã theo quy_luật nào nữa
173 2 123:-1.3979400280865142 129:-0.7258062713008238 131:-1.0176527765915522 199:-0.7482842913553551 254:-1.07674111048744 337:0.694329106565521 447:-0.29718480469001346 593:1.3979400086720375 887:-1.0424521218293146 984:-0.5302698768370445 985:-0.5302698768370445 986:-0.5302698768370445 987:-0.5302698768370445 		xong tăng lương thì tiền đâu em mua rau thịt ăn đây lại mỳ tôm qua_ngày vậy
174 2 706:-0.7407893350959982 711:-0.7407893350959982 		khổ lắm
175 2 350:0.309803958800438 988:0.9156718964291434 989:0.9156718964291434 		vô_cùng ngang_ngược và trơ_tráo 
176 2 4:-0.22788667225621362 21:-0.32251110405595795 43:0.07330625011468372 91:-0.4926092943636468 112:-0.9093809543399517 197:-0.6617597897571995 235:-1.344195743375277 277:-0.27490623494773353 374:-0.6444385732891087 423:-1.023523552406597 551:-0.19358631027563006 552:-0.19358631027563006 563:-0.8702255777570986 585:-0.3471476684251635 588:-0.9827234135545142 636:-0.3153909832958167 990:-1.1623652524231136 991:-1.1623652524231136 992:-1.1623652524231136 993:-1.1623652524231136 994:-1.1623652524231136 995:-1.1623652524231136 996:-1.1623652524231136 		vô_lý nhất_là mình có nhà hợp_pháp chủ_quyền tên của mình mà phải tạm_trú trong nhà mình 2 năm mới được nhập hộ_khẩu thời_gian đó thì biết_bao_nhiêu rắc_rối cho con_cháu xin việc học_hành quyền_lợi bị hạn_chế 
177 2 78:0.04213435766353873 128:-0.6841593264798133 594:-1.2027087143097317 		buồn quá đi 
178 2 78:0.04213435766353873 96:-0.6041729327798189 199:-0.7482842913553551 887:-1.0424521218293146 997:-0.09524578036795688 998:-0.08278534443048224 999:-0.09524578036795688 1000:-0.09524578036795688 1001:-0.08278534443048224 		lương thấp quá xăng thì cứ tăng vù_vù nãn lòng công_chức 
179 2 21:-0.32251110405595795 121:-1.0176527765915522 220:-0.3916490455338326 278:-0.24940374219819422 281:-0.22390125283031473 543:-0.0339465153245826 643:-0.5508676147355693 711:-0.7407893350959982 852:-0.6235077544689696 887:-1.0424521218293146 998:-0.08278534443048224 1002:-0.8323465823292315 1003:-0.8323465823292315 1004:-0.8323465823292315 1005:-0.8323465823292315 1006:-0.13966753271181248 1007:-0.8323465823292315 		trời_ơi tăng cái nọ lại tăng thêm 1 loạt các thứ khác ? xăng tăng điện tăng kêu lỗ cái khổ của người_dân thì ai kêu cho đây 
180 2 76:0.059531871955552436 199:-0.7482842913553551 404:-1.141874123975376 430:-0.13452653995112301 594:-1.2027087143097317 613:-1.652149625625066 651:-1.126005662422186 887:-1.0424521218293146 1001:-0.08278534443048224 1009:-0.74143624375057 1011:-0.74143624375057 1012:-0.74143624375057 1013:-0.6444385732891087 1014:-0.74143624375057 		nghe lương tăng mà thấy buồn bởi chẳng thấm_tháp gì so với chi_tiêu tối thiếu hàng tháng của các gia_đình công_chức 
181 2 66:0.0990688183079093 199:-0.7482842913553551 254:-1.07674111048744 412:-1.141874123975376 416:-1.023523552406597 464:1.180341073484634E-8 542:-0.5876985680736323 558:-0.8702255777570986 1015:-0.5873896838654455 1016:-0.5873896838654455 1017:-0.5873896838654455 1018:-0.5873896838654455 1019:-0.5873896838654455 		lương và giá_cả thị_trường làm thế_nào để đủ tiền nuôi hai đứa con mà không phải vay nợ 
182 2 199:-0.7482842913553551 329:0.24816226377459902 457:0.40463189352428874 887:-1.0424521218293146 		lương ơi đừng tăng nữa 
183 2 281:-0.22390125283031473 365:-0.3309046691741125 551:-0.19358631027563006 585:-0.3471476684251635 589:-0.8348088010939101 643:-0.5508676147355693 906:-0.6444385732891087 1020:-0.9925809529268045 1021:-0.9925809529268045 1022:-0.26066753051852 1023:-0.2999019033093854 1024:-0.2999019033093854 1025:-0.9925809529268045 1026:-0.9925809529268045 1027:-0.9925809529268045 1028:-0.8627275218464825 		vô_lý hình_ảnh rạp công_nhân sau khi đập 2 bậc thềm nhưng thay vào đó là 1 dãy xe_máy đậu trên vỉa_hè ? vậy mục_đích của việc đập 2 bậc thềm là gì ?
184 2 211:-0.31480436109427484 261:1.0367718431723768E-8 365:-0.3309046691741125 543:-0.0339465153245826 672:-1.1153468729491203 779:-0.29718480469001346 1029:0.17675501820491168 		tôi phản_đối lấy vỉa_hè kinh_doanh hay làm_việc khác
185 2 91:-0.4926092943636468 361:-0.4465799863412682 447:-0.29718480469001346 590:-0.6617597897571995 655:-1.344195743375277 698:0.40463189352428874 1030:-0.4051912169425199 1031:-0.4051912169425199 1032:-0.4051912169425199 1033:-0.4051912169425199 		ôi không được đâu mới khó_khăn mới dẹp được giờ mà bày ra là tùm_lum liền hà 
186 2 1:-0.13922152088754197 486:1.0367718431723768E-8 487:1.180341073484634E-8 549:0.7612758908621442 573:-0.8605498385310864 779:-0.29718480469001346 1034:-0.4051912169425199 1035:-0.4051912169425199 1036:-0.3521824728109193 1037:-0.4051912169425199 		quyết_định thật khó hiểu tôi phản_đối việc này vi_phạm luật giao_thông đường_bộ đã cấm là cấm 
187 2 21:-0.32251110405595795 45:-0.03599780895733318 66:0.0990688183079093 136:-0.748304062738001 262:8.419605220332626E-9 281:-0.22390125283031473 292:-1.1364034271016408 365:-0.3309046691741125 431:-0.15836246620928174 438:-0.5012600928457122 546:-0.6444385732891087 555:8.715724347631912E-9 567:-0.3221537648883166 651:-1.126005662422186 672:-1.1153468729491203 748:-1.0629578308487644 786:-1.2869053270864068 1038:-1.2229489264544635 1039:-1.2229489264544635 1040:-1.0629578308487644 1041:-1.2229489264544635 1042:-1.2229489264544635 1043:-1.0629578308487644 		  nếu cho kinh_doanh vỉa_hè rồi lại lộn_xộn thôi văn_hoá vỉa_hè sẽ tồn_tại mãi thế_này sao ? tận_dụng làm chỗ đỗ xe thì còn có_lý vì chỗ để xe hiện_nay rất thiếu còn cho thuê kinh_doanh là tôi không ủng_hộ 
188 2 91:-0.4926092943636468 550:0.8376831388648301 861:-0.9247959990336581 1040:-1.0629578308487644 1044:0.309803958800438 1045:0.356434100987628 		lại bát_nháo thế_này bao_giờ mới khá nổi 
189 2 21:-0.32251110405595795 136:-0.748304062738001 365:-0.3309046691741125 544:-0.6444385732891087 1029:0.17675501820491168 1043:-1.0629578308487644 1046:-0.5575071954341659 1047:-0.6414203897462586 1048:-0.6414203897462586 1049:-0.6414203897462586 1050:-0.6414203897462586 1051:-0.6414203897462586 1052:-0.6414203897462586 		đã dọn_dẹp vỉa_hè để lấy lại không_gian đi_lại cho rộng_rãi vậy_mà còn đề suất cho thuê gì nữa vậy trời 
190 2 21:-0.32251110405595795 49:-0.04051559033293016 128:-0.6841593264798133 278:-0.24940374219819422 310:0.9093809417105434 361:-0.4465799863412682 364:-0.4735940011220733 672:-1.1153468729491203 1053:-0.2621870342367972 1054:-0.2621870342367972 		cho kinh_doanh rồi ai quản_lý nỗi nếu người kinh_doanh lấn_chiếm dẹp đi không đồng_ý
191 2 21:-0.32251110405595795 109:-1.2748575066916197 361:-0.4465799863412682 457:0.40463189352428874 554:-0.22788667225621362 718:1.274857488986503 1055:-0.09524578036795688 1056:-0.09524578036795688 		dẹp rồi lại cho bán trở_lại bó_tay vậy_thì đừng có dẹp làm_gì 
192 2 21:-0.32251110405595795 67:0.14109438435948235 91:-0.4926092943636468 157:0.7958800173440752 268:-0.08278534443048224 322:-0.3509457579580767 365:-0.3309046691741125 672:-1.1153468729491203 758:-1.0629578308487644 1057:-0.46968620280569456 1058:-0.4082399653118496 		không biết nói_gì hơn mới được mấy ngày mà đã có đề_xuất mới dứt_khoát không cho kinh_doanh vỉa_hè 
193 2 683:0.5490512471942065 		cạn_lời
194 2 15:-0.7163739607111894 21:-0.32251110405595795 49:-0.04051559033293016 66:0.0990688183079093 76:0.059531871955552436 78:0.04213435766353873 94:-0.22788667225621362 96:-0.6041729327798189 121:-1.0176527765915522 128:-0.6841593264798133 136:-0.748304062738001 190:-0.14824369810869037 220:-0.3916490455338326 253:-1.07674111048744 261:1.0367718431723768E-8 276:0.5490512471942065 277:-0.27490623494773353 341:-0.6597585412083451 365:-0.3309046691741125 367:-0.5575071954341659 382:-0.4608978395208019 438:-0.5012600928457122 442:-0.7958800367585517 463:1.180341073484634E-8 625:-0.61456472938368 672:-1.1153468729491203 725:-0.5817658415315136 779:-0.29718480469001346 890:-1.4320066549121386 1028:-0.8627275218464825 1044:0.309803958800438 1058:-0.4082399653118496 1059:-1.9008229229441471 1060:-1.9008229229441471 1061:-1.9008229229441471 1062:-1.9008229229441471 1063:-1.9008229229441471 1064:-1.9008229229441471 1065:-1.9008229229441471 1066:-1.9008229229441471 1067:-1.9008229229441471 1068:-1.9008229229441471 1069:-1.9008229229441471 1070:-1.9008229229441471 1071:-1.9008229229441471 1072:-1.652149625625066 1073:-1.9008229229441471 1074:-1.652149625625066 1075:-1.9008229229441471 1076:-1.9008229229441471 1077:-1.9008229229441471 		phản_đối đề_xuất kinh_doanh trên vỉa_hè khi ý_thức người_dân còn quá kém kèm theo lòng tham tâm_lý số đông khi sử_dụng hộ này chật quá để thêm vật_dụng ra ngoài nghĩ cũng không sao người này thấy người kia để được cũng làm theo người người_làm theo cán_bộ đi kiểm_tra rất mỏng còn rất nhiều vấn_đề phát_sinh vỉa_hè phải dùng đúng mục_đích cho làm_việc này việc kia sẽ sinh_ra tiêu_cực mỹ_quan đô_thị và tất_cả sẽ mất kiểm_soát bát_nháo cho_đến vài chục năm sau 
195 2 323:-0.42031779527431934 326:1.064446551611978 361:-0.4465799863412682 365:-0.3309046691741125 384:0.19382002601611292 438:-0.5012600928457122 549:0.7612758908621442 573:-0.8605498385310864 643:-0.5508676147355693 854:-0.9247959990336581 1029:0.17675501820491168 1078:-1.0978702665599385 1079:-1.0978702665599385 1080:-1.0978702665599385 1081:-0.9542424641388814 1082:-1.0978702665599385 1083:-1.0978702665599385 1084:-1.0978702665599385 1085:-1.0978702665599385 		không hiểu sao lại nảy ra ý_định này đã dẹp là dẹp hẳn luôn tốn bao công_sức để lấy lại vỉa_hè rồi loanh_quanh sẽ khó mà trở_thành 1 góc nhỏ của singapo 
196 2 121:-1.0176527765915522 365:-0.3309046691741125 590:-0.6617597897571995 787:-1.2869053270864068 1022:-0.26066753051852 1046:-0.5575071954341659 1081:-0.9542424641388814 1086:-0.6414203897462586 1087:-0.6414203897462586 1088:-0.6414203897462586 1089:-0.6414203897462586 1090:-0.6414203897462586 1091:-0.6414203897462586 		bao_nhiêu công_sức tiền_của để đập phá dọn_dẹp lại vỉa_hè giờ mà thêm cái qđ này nữa khác_gì bữa giờ ném_tiền_qua_cửa_sổ 
197 2 78:0.04213435766353873 121:-1.0176527765915522 178:-1.2041199697129406 181:-1.2041199697129406 365:-0.3309046691741125 413:-0.5944729982445457 517:-0.7867681269281029 1092:-0.09524578036795688 1093:-0.09524578036795688 1094:-0.09524578036795688 		vỉa_hè rộng quá thì mở_rộng thêm đường giải_quyết ùn ứ tắc đường 
198 2 49:-0.04051559033293016 61:1.0367718431723768E-8 96:-0.6041729327798189 128:-0.6841593264798133 278:-0.24940374219819422 281:-0.22390125283031473 294:-1.1364034271016408 310:0.9093809417105434 364:-0.4735940011220733 1095:-0.8323465823292315 1096:-0.8323465823292315 1097:-0.8323465823292315 1098:-0.7234556558564558 1099:-0.8323465823292315 1100:-0.8323465823292315 		ai bảo_đảm sẽ không tái_diễn cảnh lấn_chiếm lòng lề_đường nữa ? và người đi bộ lại phải xuống lòng_đường tôi không đồng_ý dự_thảo này 
199 2 487:1.180341073484634E-8 573:-0.8605498385310864 1036:-0.3521824728109193 1072:-1.652149625625066 1074:-1.652149625625066 1098:-0.7234556558564558 1101:-0.2621870342367972 		không nên rất khó kiểm_soát tiêu_cực đã cấm là cấm hẵn lề_đường để giao_thông 
200 2 21:-0.32251110405595795 49:-0.04051559033293016 66:0.0990688183079093 109:-1.2748575066916197 116:-1.3979400280865142 322:-0.3509457579580767 365:-0.3309046691741125 412:-1.141874123975376 463:1.180341073484634E-8 555:8.715724347631912E-9 779:-0.29718480469001346 868:-0.3521824728109193 1013:-0.6444385732891087 1102:-0.9156719187657897 1103:-0.22299286914837063 1104:-0.9156719187657897 1105:-0.9156719187657897 1106:-0.9156719187657897 		phản_đối sử_dụng vỉa_hè 3m kẻ sơn cho bán hàng rong đã làm thì làm cho tới nơi trước kẻ sơn cho để xe rồi kết_cục thế_nào mọi người đều đã biết
