1 1 1:1.2218487330493364 2:1.1870866309318795 4:2.0 5:1.3979400086720377 7:2.3010299956639813 8:2.3010299956639813 10:2.3010299956639813 11:2.3010299956639813 13:1.6020599913279623 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
164 2 21:0.7212463949054161 122:1.3010299956639813 155:1.8239087243772987 228:1.8239087243772987 254:1.6020599913279623 302:1.6020599913279623 349:1.6020599913279623 359:2.0 366:1.6020599913279623 394:1.8239087243772987 438:1.2596373063640012 464:1.8239087243772987 740:1.6989700043360187 771:2.0 872:1.2596373063640012 873:1.6989700043360187 874:1.4559319515079694 879:2.0 881:1.6989700043360187 883:1.8239087243772987 886:2.0 887:1.4559319515079694 898:1.6020599913279623 908:1.6989700043360187 922:2.0 924:2.3010299956639813 925:2.3010299956639813 926:2.3010299956639813 927:2.0 928:2.3010299956639813 929:2.3010299956639813 930:2.3010299956639813 		sinh_viên không được miễn giá vé tàu ntn là không thỏa_đáng đa_số sv đều ở quê ra tp học_tập đa_phần sv là gđ nông nghèo không giảm_giá tàu_xe cho sv về quê các đợt lễ tết và không được học_phí thì tăng vé tàu_xe không giảm thế sv chúng_tôi sao mà đủ tiền tàu_xe 
165 2 132:1.0969100130080565 252:1.6989700043360187 310:1.3010299956639813 625:1.6989700043360187 872:1.2596373063640012 874:1.4559319515079694 880:1.8239087243772987 883:1.8239087243772987 931:2.3010299956639813 932:2.3010299956639813 		đồng_ý hết nhưng sinh_viên không được miễn_giảm vé tàu là một vấn_đề cần phải xem_xét lại vì_sao 
166 2 15:1.6020599913279623 21:0.7212463949054161 78:0.9208187373853551 128:0.978810696788307 136:1.0705810660021973 277:1.3467874696576363 281:1.0969100130080565 441:1.6989700043360187 447:1.4559319515079694 681:1.6989700043360187 795:2.0 873:1.6989700043360187 927:2.0 933:2.3010299956639813 935:2.3010299956639813 936:2.3010299956639813 937:2.3010299956639813 938:2.3010299956639813 939:2.3010299956639813 940:2.3010299956639813 941:2.3010299956639813 942:2.3010299956639813 		ơ trước năm 45 là chống pháp đa_phần tuổi đã cao sức đã yếu còn đi đâu nữa mà miễn với không miễn ? tại_sao không miễn giãm cho tất_cả các thời_kỳ ? buồn_cười quá 
167 2 21:0.7212463949054161 38:1.3979400086720377 96:1.4559319515079694 281:1.0969100130080565 328:1.2596373063640012 342:1.4559319515079694 438:1.2596373063640012 501:2.0 581:2.0 594:1.4559319515079694 706:1.6020599913279623 791:2.0 848:1.6989700043360187 872:1.2596373063640012 881:1.6989700043360187 898:1.6020599913279623 943:2.3010299956639813 944:2.3010299956639813 945:2.3010299956639813 946:2.3010299956639813 947:2.3010299956639813 		buồn thiết chứ không đội mũ_bảo_hiểm cho những bạn trẻ là tốt nên bắt_buộc sinh_viên xa quê nghèo lắm các bác ạ sao các bác nỡ lòng nào ? 
168 2 5:1.3979400086720377 39:1.3010299956639813 49:0.978810696788307 68:1.3979400086720377 113:1.8239087243772987 127:1.4559319515079694 184:1.4559319515079694 251:2.0 298:2.0 302:1.6020599913279623 312:1.8239087243772987 455:1.5228787287133174 505:1.8239087243772987 558:1.8239087243772987 693:2.0 721:2.0 726:2.0 727:2.0 740:1.6989700043360187 872:1.2596373063640012 873:1.6989700043360187 874:1.4559319515079694 875:1.6989700043360187 908:1.6989700043360187 948:2.3010299956639813 949:2.3010299956639813 950:2.3010299956639813 951:2.3010299956639813 952:2.3010299956639813 953:2.3010299956639813 954:2.3010299956639813 956:2.3010299956639813 957:2.3010299956639813 958:2.3010299956639813 959:2.3010299956639813 960:2.3010299956639813 961:2.3010299956639813 962:2.3010299956639813 963:2.3010299956639813 964:2.3010299956639813 965:2.3010299956639813 966:2.3010299956639813 		sinh_viên không được miễn giảm vé tàu_hỏa là chính_sách chưa phù_hợp để phát_triển đất_nước sinh_viên là những người cần được ưu_tiên hỗ_trợ phát_triển nước gần chúng_ta nhất trung quốc sinh_viên được miễn giảm_giá vé tầu vào hai lần là đi_về nghỉ_hè và nghỉ tết đề_nghị tăng_cường an_ninh tại các khu_vực bến_xe bến_tàu phòng_chống trộm_cắp cướp_giật lắp thiết_bị ghi_hình ghi tiếng và báo_động nhanh tại các khu_vực này 
169 2 249:1.8239087243772987 262:1.3010299956639813 342:1.4559319515079694 967:2.0 968:2.0 969:2.0 970:1.8239087243772987 971:2.3010299956639813 972:2.3010299956639813 		  thay_đổi mã vùng điện_thoại cố_định không khoa_học tí nào
170 2 21:0.7212463949054161 253:1.6020599913279623 277:1.3467874696576363 552:1.6989700043360187 745:1.6989700043360187 970:1.8239087243772987 973:2.3010299956639813 974:2.3010299956639813 975:2.3010299956639813 976:2.3010299956639813 977:2.3010299956639813 		mệt nhất_là chuyện đổi số điện_thoại mới_đầu năm đã hao_tài_tốn_của cho việc in_ấn giấy_tờ rồi 
171 2 21:0.7212463949054161 76:1.3010299956639813 211:1.045757473993655 253:1.6020599913279623 269:1.6020599913279623 275:2.0 276:1.8239087243772987 342:1.4559319515079694 635:2.0 745:1.6989700043360187 978:2.3010299956639813 		tôi thấy đổi số đt và cho mang thai hộ là không hay chút nào 
172 2 42:1.3979400086720377 76:1.3010299956639813 249:1.8239087243772987 328:1.2596373063640012 342:1.4559319515079694 967:2.0 968:2.0 969:2.0 970:1.8239087243772987 979:2.3010299956639813 980:2.3010299956639813 981:2.3010299956639813 982:2.3010299956639813 983:2.3010299956639813 		mã vùng điện_thoại thay_đổi kiểu gì mà đọc vào chả thấy khoa_học không biết_mấy bác phân_chia mã theo quy_luật nào nữa
173 2 123:2.0 129:1.8239087243772987 131:1.4559319515079694 199:1.5228787287133174 254:1.6020599913279623 337:1.5228787287133174 447:1.4559319515079694 593:2.0 887:1.4559319515079694 984:2.3010299956639813 985:2.3010299956639813 986:2.3010299956639813 987:2.3010299956639813 		xong tăng lương thì tiền đâu em mua rau thịt ăn đây lại mỳ tôm qua_ngày vậy
174 2 706:1.6020599913279623 711:1.6020599913279623 		khổ lắm
175 2 350:2.0 988:2.3010299956639813 989:2.3010299956639813 		vô_cùng ngang_ngược và trơ_tráo 
176 2 4:2.0 21:0.7212463949054161 43:1.6020599913279623 91:1.1870866309318795 112:1.3010299956639813 197:1.3467874696576363 235:2.0 277:1.3467874696576363 374:2.0 423:1.5228787287133174 551:1.6989700043360187 552:1.6989700043360187 563:1.8239087243772987 585:1.8239087243772987 588:2.0 636:1.6989700043360187 990:2.3010299956639813 991:2.3010299956639813 992:2.3010299956639813 993:2.3010299956639813 994:2.3010299956639813 995:2.3010299956639813 996:2.3010299956639813 		vô_lý nhất_là mình có nhà hợp_pháp chủ_quyền tên của mình mà phải tạm_trú trong nhà mình 2 năm mới được nhập hộ_khẩu thời_gian đó thì biết_bao_nhiêu rắc_rối cho con_cháu xin việc học_hành quyền_lợi bị hạn_chế 
177 2 78:0.9208187373853551 128:0.978810696788307 594:1.4559319515079694 		buồn quá đi 
178 2 78:0.9208187373853551 96:1.4559319515079694 199:1.5228787287133174 887:1.4559319515079694 997:2.3010299956639813 998:2.0 999:2.3010299956639813 1000:2.3010299956639813 1001:2.0 		lương thấp quá xăng thì cứ tăng vù_vù nãn lòng công_chức 
179 2 21:0.7212463949054161 121:1.4559319515079694 220:1.3010299956639813 278:1.2218487330493364 281:1.0969100130080565 543:1.6020599913279623 643:1.5228787287133174 711:1.6020599913279623 852:2.0 887:1.4559319515079694 998:2.0 1002:2.3010299956639813 1003:2.3010299956639813 1004:2.3010299956639813 1005:2.3010299956639813 1006:2.3010299956639813 1007:2.3010299956639813 		trời_ơi tăng cái nọ lại tăng thêm 1 loạt các thứ khác ? xăng tăng điện tăng kêu lỗ cái khổ của người_dân thì ai kêu cho đây 
180 2 76:1.3010299956639813 199:1.5228787287133174 404:1.6989700043360187 430:1.6989700043360187 594:1.4559319515079694 613:2.0 651:1.6989700043360187 887:1.4559319515079694 1001:2.0 1009:2.3010299956639813 1011:2.3010299956639813 1012:2.3010299956639813 1013:2.0 1014:2.3010299956639813 		nghe lương tăng mà thấy buồn bởi chẳng thấm_tháp gì so với chi_tiêu tối thiếu hàng tháng của các gia_đình công_chức 
181 2 66:1.0222763905693972 199:1.5228787287133174 254:1.6020599913279623 412:1.6989700043360187 416:1.5228787287133174 464:1.8239087243772987 542:1.8239087243772987 558:1.8239087243772987 1015:2.3010299956639813 1016:2.3010299956639813 1017:2.3010299956639813 1018:2.3010299956639813 1019:2.3010299956639813 		lương và giá_cả thị_trường làm thế_nào để đủ tiền nuôi hai đứa con mà không phải vay nợ 
182 2 199:1.5228787287133174 329:1.6020599913279623 457:1.8239087243772987 887:1.4559319515079694 		lương ơi đừng tăng nữa 
183 2 281:1.0969100130080565 365:1.1870866309318795 551:1.6989700043360187 585:1.8239087243772987 589:1.6989700043360187 643:1.5228787287133174 906:2.0 1020:2.3010299956639813 1021:2.3010299956639813 1022:2.0 1023:2.3010299956639813 1024:2.3010299956639813 1025:2.3010299956639813 1026:2.3010299956639813 1027:2.3010299956639813 1028:2.0 		vô_lý hình_ảnh rạp công_nhân sau khi đập 2 bậc thềm nhưng thay vào đó là 1 dãy xe_máy đậu trên vỉa_hè ? vậy mục_đích của việc đập 2 bậc thềm là gì ?
184 2 211:1.045757473993655 261:1.6020599913279623 365:1.1870866309318795 543:1.6020599913279623 672:1.5228787287133174 779:1.4559319515079694 1029:1.8239087243772987 		tôi phản_đối lấy vỉa_hè kinh_doanh hay làm_việc khác
185 2 91:1.1870866309318795 361:1.6020599913279623 447:1.4559319515079694 590:1.3467874696576363 655:2.0 698:1.8239087243772987 1030:2.3010299956639813 1031:2.3010299956639813 1032:2.3010299956639813 1033:2.3010299956639813 		ôi không được đâu mới khó_khăn mới dẹp được giờ mà bày ra là tùm_lum liền hà 
186 2 1:1.2218487330493364 486:1.6020599913279623 487:1.8239087243772987 549:1.4559319515079694 573:1.4559319515079694 779:1.4559319515079694 1034:2.3010299956639813 1035:2.3010299956639813 1036:2.0 1037:2.3010299956639813 		quyết_định thật khó hiểu tôi phản_đối việc này vi_phạm luật giao_thông đường_bộ đã cấm là cấm 
187 2 21:0.7212463949054161 45:0.8696662242569226 66:1.0222763905693972 136:1.0705810660021973 262:1.3010299956639813 281:1.0969100130080565 292:2.0 365:1.1870866309318795 431:2.0 438:1.2596373063640012 546:2.0 555:1.3467874696576363 567:1.3979400086720377 651:1.6989700043360187 672:1.5228787287133174 748:2.0 786:2.0 1038:2.3010299956639813 1039:2.3010299956639813 1040:2.0 1041:2.3010299956639813 1042:2.3010299956639813 1043:2.0 		  nếu cho kinh_doanh vỉa_hè rồi lại lộn_xộn thôi văn_hoá vỉa_hè sẽ tồn_tại mãi thế_này sao ? tận_dụng làm chỗ đỗ xe thì còn có_lý vì chỗ để xe hiện_nay rất thiếu còn cho thuê kinh_doanh là tôi không ủng_hộ 
188 2 91:1.1870866309318795 550:1.6020599913279623 861:2.0 1040:2.0 1044:2.0 1045:2.3010299956639813 		lại bát_nháo thế_này bao_giờ mới khá nổi 
189 2 21:0.7212463949054161 136:1.0705810660021973 365:1.1870866309318795 544:2.0 1029:1.8239087243772987 1043:2.0 1046:2.0 1047:2.3010299956639813 1048:2.3010299956639813 1049:2.3010299956639813 1050:2.3010299956639813 1051:2.3010299956639813 1052:2.3010299956639813 		đã dọn_dẹp vỉa_hè để lấy lại không_gian đi_lại cho rộng_rãi vậy_mà còn đề suất cho thuê gì nữa vậy trời 
190 2 21:0.7212463949054161 49:0.978810696788307 128:0.978810696788307 278:1.2218487330493364 310:1.3010299956639813 361:1.6020599913279623 364:1.6989700043360187 672:1.5228787287133174 1053:2.3010299956639813 1054:2.3010299956639813 		cho kinh_doanh rồi ai quản_lý nỗi nếu người kinh_doanh lấn_chiếm dẹp đi không đồng_ý
191 2 21:0.7212463949054161 109:1.8239087243772987 361:1.6020599913279623 457:1.8239087243772987 554:2.0 718:1.8239087243772987 1055:2.3010299956639813 1056:2.3010299956639813 		dẹp rồi lại cho bán trở_lại bó_tay vậy_thì đừng có dẹp làm_gì 
192 2 21:0.7212463949054161 67:1.4559319515079694 91:1.1870866309318795 157:2.0 268:2.0 322:1.5228787287133174 365:1.1870866309318795 672:1.5228787287133174 758:2.0 1057:2.3010299956639813 1058:2.0 		không biết nói_gì hơn mới được mấy ngày mà đã có đề_xuất mới dứt_khoát không cho kinh_doanh vỉa_hè 
193 2 683:1.8239087243772987 		cạn_lời
194 2 15:1.6020599913279623 21:0.7212463949054161 49:0.978810696788307 66:1.0222763905693972 76:1.3010299956639813 78:0.9208187373853551 94:2.0 96:1.4559319515079694 121:1.4559319515079694 128:0.978810696788307 136:1.0705810660021973 190:1.3010299956639813 220:1.3010299956639813 253:1.6020599913279623 261:1.6020599913279623 276:1.8239087243772987 277:1.3467874696576363 341:1.8239087243772987 365:1.1870866309318795 367:2.0 382:2.0 438:1.2596373063640012 442:2.0 463:1.8239087243772987 625:1.6989700043360187 672:1.5228787287133174 725:1.6989700043360187 779:1.4559319515079694 890:2.0 1028:2.0 1044:2.0 1058:2.0 1059:2.3010299956639813 1060:2.3010299956639813 1061:2.3010299956639813 1062:2.3010299956639813 1063:2.3010299956639813 1064:2.3010299956639813 1065:2.3010299956639813 1066:2.3010299956639813 1067:2.3010299956639813 1068:2.3010299956639813 1069:2.3010299956639813 1070:2.3010299956639813 1071:2.3010299956639813 1072:2.0 1073:2.3010299956639813 1074:2.0 1075:2.3010299956639813 1076:2.3010299956639813 1077:2.3010299956639813 		phản_đối đề_xuất kinh_doanh trên vỉa_hè khi ý_thức người_dân còn quá kém kèm theo lòng tham tâm_lý số đông khi sử_dụng hộ này chật quá để thêm vật_dụng ra ngoài nghĩ cũng không sao người này thấy người kia để được cũng làm theo người người_làm theo cán_bộ đi kiểm_tra rất mỏng còn rất nhiều vấn_đề phát_sinh vỉa_hè phải dùng đúng mục_đích cho làm_việc này việc kia sẽ sinh_ra tiêu_cực mỹ_quan đô_thị và tất_cả sẽ mất kiểm_soát bát_nháo cho_đến vài chục năm sau 
195 2 323:1.8239087243772987 326:1.5228787287133174 361:1.6020599913279623 365:1.1870866309318795 384:2.0 438:1.2596373063640012 549:1.4559319515079694 573:1.4559319515079694 643:1.5228787287133174 854:2.0 1029:1.8239087243772987 1078:2.3010299956639813 1079:2.3010299956639813 1080:2.3010299956639813 1081:2.0 1082:2.3010299956639813 1083:2.3010299956639813 1084:2.3010299956639813 1085:2.3010299956639813 		không hiểu sao lại nảy ra ý_định này đã dẹp là dẹp hẳn luôn tốn bao công_sức để lấy lại vỉa_hè rồi loanh_quanh sẽ khó mà trở_thành 1 góc nhỏ của singapo 
196 2 121:1.4559319515079694 365:1.1870866309318795 590:1.3467874696576363 787:2.0 1022:2.0 1046:2.0 1081:2.0 1086:2.3010299956639813 1087:2.3010299956639813 1088:2.3010299956639813 1089:2.3010299956639813 1090:2.3010299956639813 1091:2.3010299956639813 		bao_nhiêu công_sức tiền_của để đập phá dọn_dẹp lại vỉa_hè giờ mà thêm cái qđ này nữa khác_gì bữa giờ ném_tiền_qua_cửa_sổ 
197 2 78:0.9208187373853551 121:1.4559319515079694 178:2.0 181:2.0 365:1.1870866309318795 413:1.6020599913279623 517:1.8239087243772987 1092:2.3010299956639813 1093:2.3010299956639813 1094:2.3010299956639813 		vỉa_hè rộng quá thì mở_rộng thêm đường giải_quyết ùn ứ tắc đường 
198 2 49:0.978810696788307 61:1.6020599913279623 96:1.4559319515079694 128:0.978810696788307 278:1.2218487330493364 281:1.0969100130080565 294:2.0 310:1.3010299956639813 364:1.6989700043360187 1095:2.3010299956639813 1096:2.3010299956639813 1097:2.3010299956639813 1098:2.0 1099:2.3010299956639813 1100:2.3010299956639813 		ai bảo_đảm sẽ không tái_diễn cảnh lấn_chiếm lòng lề_đường nữa ? và người đi bộ lại phải xuống lòng_đường tôi không đồng_ý dự_thảo này 
199 2 487:1.8239087243772987 573:1.4559319515079694 1036:2.0 1072:2.0 1074:2.0 1098:2.0 1101:2.3010299956639813 		không nên rất khó kiểm_soát tiêu_cực đã cấm là cấm hẵn lề_đường để giao_thông 
200 2 21:0.7212463949054161 49:0.978810696788307 66:1.0222763905693972 109:1.8239087243772987 116:2.0 322:1.5228787287133174 365:1.1870866309318795 412:1.6989700043360187 463:1.8239087243772987 555:1.3467874696576363 779:1.4559319515079694 868:2.0 1013:2.0 1102:2.3010299956639813 1103:2.3010299956639813 1104:2.3010299956639813 1105:2.3010299956639813 1106:2.3010299956639813 		phản_đối sử_dụng vỉa_hè 3m kẻ sơn cho bán hàng rong đã làm thì làm cho tới nơi trước kẻ sơn cho để xe rồi kết_cục thế_nào mọi người đều đã biết
